Date,GMERTRB
2018-07-26,67.0882
2018-07-25,65.2213
2018-07-24,62.529
2018-07-23,60.8945
2018-07-22,61.7037
2018-07-21,51.7612
2018-07-20,63.2396
2018-07-19,68.3168
2018-07-18,64.8668
2018-07-17,68.3056
2018-07-16,63.2336
2018-07-15,63.3476
2018-07-14,56.076
2018-07-13,58.9363
2018-07-12,68.6925
2018-07-11,65.5129
2018-07-10,65.4416
2018-07-09,66.283
2018-07-08,61.6775
2018-07-07,54.8585
2018-07-06,55.0583
2018-07-05,62.6712
2018-07-04,63.3785
2018-07-03,72.3057
2018-07-02,61.2998
2018-07-01,58.325
2018-06-30,54.6968
2018-06-29,54.7955
2018-06-28,60.2696
2018-06-27,59.4734
2018-06-26,58.6445
2018-06-25,54.95
2018-06-24,58.5882
2018-06-23,51.954
2018-06-22,49.6936
2018-06-21,62.3315
2018-06-20,64.7685
2018-06-19,61.0602
2018-06-18,56.6655
2018-06-17,56.1676
2018-06-16,49.8464
2018-06-15,52.9181
2018-06-14,54.8203
2018-06-13,60.7479
2018-06-12,57.6443
2018-06-11,59.1643
2018-06-10,65.3693
2018-06-09,51.7103
2018-06-08,48.0375
2018-06-07,60.373
2018-06-06,61.5522
2018-06-05,58.4478
2018-06-04,59.638
2018-06-03,64.0837
2018-06-02,47.7908
2018-06-01,53.9779
2018-05-31,62.0842
2018-05-30,64.8197
2018-05-29,59.2601
2018-05-28,62.4598
2018-05-27,57.456
2018-05-26,45.3013
2018-05-25,49.9291
2018-05-24,57.9378
2018-05-23,57.2602
2018-05-22,58.0558
2018-05-21,56.0049
2018-05-20,67.1179
2018-05-19,49.4231
2018-05-18,51.1942
2018-05-17,57.6826
2018-05-16,61.1736
2018-05-15,53.576
2018-05-14,53.2189
2018-05-13,43.8589
2018-05-12,38.1249
2018-05-11,47.9537
2018-05-10,58.2345
2018-05-09,55.1896
2018-05-08,56.4086
2018-05-07,50.5477
2018-05-06,49.2068
2018-05-05,48.8509
2018-05-04,50.6314
2018-05-03,58.4973
2018-05-02,48.0191
2018-05-01,48.3124
2018-04-30,42.0396
2018-04-29,46.8025
2018-04-28,42.0968
2018-04-27,43.8306
2018-04-26,47.1909
2018-04-25,50.9953
2018-04-24,41.2756
2018-04-23,54.7869
2018-04-22,48.6854
2018-04-21,47.5098
2018-04-20,48.726
2018-04-19,45.3765
2018-04-18,45.3933
2018-04-17,49.2182
2018-04-16,51.7178
2018-04-15,55.5173
2018-04-14,47.5565
2018-04-13,45.1621
2018-04-12,54.893
2018-04-11,55.0604
2018-04-10,57.838
2018-04-09,52.4515
2018-04-08,55.6847
2018-04-07,40.9177
2018-04-06,49.7817
2018-04-05,54.6927
2018-04-04,51.8052
2018-04-03,58.8372
2018-04-01,53.3463
2018-03-31,31.5301
2018-03-29,53.5168
2018-03-28,51.97
2018-03-27,54.0751
2018-03-26,56.1089
2018-03-25,58.2831
2018-03-24,47.1231
2018-03-23,50.4559
2018-03-22,54.1682
2018-03-21,66.3909
2018-03-20,56.8775
2018-03-19,60.7311
2018-03-18,58.4893
2018-03-17,45.1036
2018-03-16,54.7551
2018-03-15,53.1744
2018-03-14,58.1082
2018-03-13,53.5503
2018-03-12,52.7811
2018-03-11,42.7706
2018-03-10,50.8593
2018-03-09,48.7012
2018-03-08,52.8835
2018-03-07,51.8081
2018-03-06,51.6897
2018-03-05,57.7298
2018-03-04,72.1155
2018-03-03,53.3468
2018-03-02,67.1544
2018-03-01,97.4792
2018-02-28,91.8463
2018-02-27,84.4075
2018-02-26,107.1659
2018-02-25,87.7775
2018-02-24,52.2925
2018-02-23,69.2773
2018-02-22,69.1075
2018-02-21,60.8152
2018-02-20,55.9124
2018-02-19,55.0151
2018-02-18,54.4488
2018-02-17,48.1191
2018-02-16,49.4239
2018-02-15,57.8477
2018-02-14,51.8618
